iter	Passed	Remaining
655	19781	4342
656	19814	4312
657	19888	4292
658	19926	4263
659	19954	4232
660	19981	4201
661	20012	4171
662	20040	4141
663	20066	4109
664	20092	4078
665	20119	4048
666	20150	4018
667	20177	3987
668	20204	3956
669	20233	3925
670	20263	3895
671	20290	3864
672	20316	3833
673	20344	3803
674	20369	3772
675	20395	3741
676	20421	3710
677	20450	3679
678	20483	3650
679	20511	3619
680	20537	3588
681	20562	3557
682	20588	3526
683	20616	3496
684	20641	3465
685	20666	3434
686	20687	3402
687	20713	3371
688	20740	3341
689	20767	3310
690	20801	3281
691	20826	3250
692	20856	3220
693	20883	3189
694	20910	3159
695	20948	3130
696	20981	3100
697	21010	3070
698	21050	3041
699	21083	3011
700	21112	2981
701	21139	2951
702	21162	2919
703	21187	2889
704	21216	2858
705	21248	2829
706	21277	2798
707	21307	2768
708	21338	2738
709	21363	2708
710	21388	2677
711	21411	2646
712	21438	2615
713	21466	2585
714	21492	2555
715	21515	2524
716	21539	2493
717	21562	2462
718	21585	2431
719	21611	2401
720	21639	2371
721	21664	2340
722	21689	2309
723	21716	2279
724	21744	2249
725	21770	2219
726	21797	2188
727	21820	2158
728	21846	2127
729	21871	2097
730	21898	2066
731	21922	2036
732	21945	2005
733	21972	1975
734	21991	1944
735	22024	1915
736	22054	1885
737	22084	1855
738	22111	1825
739	22136	1794
740	22162	1764
741	22185	1734
742	22211	1703
743	22235	1673
744	22260	1643
745	22287	1613
746	22325	1583
747	22348	1553
748	22373	1523
749	22395	1493
750	22418	1462
751	22443	1432
752	22472	1402
753	22501	1372
754	22524	1342
755	22552	1312
756	22578	1282
757	22606	1252
758	22632	1222
759	22663	1192
760	22689	1162
761	22727	1133
762	22754	1103
763	22781	1073
764	22810	1043
765	22835	1013
766	22869	983
767	22900	954
768	22927	924
769	22956	894
770	22984	864
771	23008	834
772	23036	804
773	23068	774
774	23117	745
775	23174	716
776	23213	687
777	23240	657
778	23267	627
779	23294	597
780	23318	567
781	23346	537
782	23376	507
783	23415	477
784	23446	448
785	23475	418
786	23506	388
787	23529	358
788	23550	328
789	23573	298
790	23605	268
791	23635	238
792	23655	208
793	23681	178
794	23706	149
795	23734	119
796	23759	89
797	23788	59
798	23819	29
799	23851	0
